Date mutation,Valeur fonciere,Code postal,Commune,Type local,Surface reelle bati,prix_m2
09/02/2024,1500000.0,10310,BAYEL,Appartement,88.0,17045.454545454544
09/02/2024,500000.0,10140,JESSAINS,Maison,56.0,8928.57142857143
26/02/2024,1080000.0,10000,TROYES,Appartement,57.0,18947.36842105263
06/03/2024,3500000.0,10160,RIGNY LE FERRON,Maison,200.0,17500.0
14/03/2024,150000.0,10800,ROUILLY SAINT LOUP,Maison,60.0,2500.0
26/02/2024,500000.0,10000,TROYES,Appartement,55.0,9090.90909090909
25/03/2024,1000000.0,10700,ALLIBAUDIERES,Maison,78.0,12820.51282051282
25/03/2024,800000.0,10380,PLANCY-L'ABBAYE,Maison,90.0,8888.888888888889
25/03/2024,1500000.0,10700,ALLIBAUDIERES,Maison,78.0,19230.76923076923
22/03/2024,500000.0,10140,TRANNES,Maison,26.0,19230.76923076923
02/04/2024,2000000.0,10400,SOLIGNY LES ETANGS,Maison,106.0,18867.924528301886
02/04/2024,2000000.0,10400,SOLIGNY LES ETANGS,Maison,106.0,18867.924528301886
04/04/2024,400000.0,10250,COURTERON,Maison,30.0,13333.333333333334
05/04/2024,650000.0,10130,ERVY LE CHATEL,Maison,46.0,14130.434782608696
12/04/2024,800000.0,10000,TROYES,Appartement,52.0,15384.615384615385
22/04/2024,1000000.0,10110,BOURGUIGNONS,Appartement,67.0,14925.373134328358
02/05/2024,1500000.0,10250,MUSSY SUR SEINE,Maison,120.0,12500.0
30/04/2024,1800000.0,10140,THIEFFRAIN,Maison,119.0,15126.050420168067
21/05/2024,750000.0,10110,LANDREVILLE,Maison,200.0,3750.0
21/05/2024,1250000.0,10360,ESSOYES,Maison,110.0,11363.636363636364
30/05/2024,1250000.0,10100,ROMILLY SUR SEINE,Maison,170.0,7352.941176470588
30/05/2024,1500000.0,10210,CHESLEY,Maison,80.0,18750.0
30/05/2024,1500000.0,10210,CHESLEY,Maison,88.0,17045.454545454544
31/05/2024,850000.0,10200,AILLEVILLE,Appartement,46.0,18478.260869565216
13/02/2024,557400.0,10400,NOGENT SUR SEINE,Maison,106.0,5258.490566037736
20/06/2024,658333.0,10400,AVANT LES MARCILLY,Maison,63.0,10449.730158730159
14/06/2024,2500000.0,10130,CHESSY LES PRES,Maison,145.0,17241.379310344826
20/06/2024,1000000.0,10130,ERVY LE CHATEL,Maison,66.0,15151.515151515152
15/07/2024,1150000.0,10210,COUSSEGREY,Maison,61.0,18852.45901639344
10/07/2024,1000000.0,10310,BAYEL,Maison,65.0,15384.615384615385
04/07/2024,2200000.0,10100,PARS-LES-ROMILLY,Maison,131.0,16793.893129770993
